actor_1_name,gross
Johnny Depp,3714788902.0
Harrison Ford,3391556163.0
Tom Hanks,3264559076.0
Tom Cruise,2987621999.0
J.K. Simmons,2856407143.0
Will Smith,2762617667.0
Chris Hemsworth,2729132988.0
Leonardo DiCaprio,2640581774.0
Robert Downey Jr.,2456990061.0
Jennifer Lawrence,2367856024.0
Robin Williams,2296963991.0
Robert De Niro,2100745158.0
Steve Buscemi,2023386536.0
Bruce Willis,2010942570.0
Denzel Washington,1896762381.0
Matt Damon,1854630902.0
Robert Pattinson,1841497127.0
Morgan Freeman,1780514534.0
Hugh Jackman,1713313608.0
Liam Neeson,1680050511.0
Bradley Cooper,1658315287.0
Natalie Portman,1645479776.0
Scarlett Johansson,1612164952.0
Christian Bale,1580306365.0
Nicolas Cage,1482670876.0
Dwayne Johnson,1412783917.0
Bill Murray,1364065018.0
Gerard Butler,1318808117.0
Channing Tatum,1261312546.0
Kevin Spacey,1255364287.0
Julia Roberts,1252223284.0
Paul Walker,1181617494.0
Keanu Reeves,1178922594.0
Angelina Jolie Pitt,1168666328.0
Ryan Reynolds,1162374288.0
Steve Carell,1161437836.0
Adam Sandler,1137069543.0
Will Ferrell,1132984634.0
Brad Pitt,1127464628.0
Jason Statham,1111401945.0
Emma Stone,1062653907.0
Amy Poehler,1051102844.0
Philip Seymour Hoffman,1024933295.0
Sylvester Stallone,1023650665.0
Daniel Radcliffe,978707075.0
Matthew McConaughey,915345373.0
Matthew Broderick,888532384.0
CCH Pounder,859152693.0
Henry Cavill,846530799.0
Naomi Watts,845711104.0
Bryce Dallas Howard,808719856.0
Christopher Lee,788008448.0
Glenn Morshower,785546728.0
Anthony Hopkins,780617919.0
Jeff Bridges,774934528.0
John Ratzenberger,760839216.0
Peter Dinklage,749788005.0
Tom Hardy,724395134.0
Clint Eastwood,721487233.0
Jim Broadbent,716794558.0
Al Pacino,708936941.0
Michael Gough,705336738.0
Alan Rickman,699415604.0
Joseph Gordon-Levitt,675997319.0
Jamie Lee Curtis,664397475.0
Jake Gyllenhaal,662482183.0
Meryl Streep,659117002.0
Kristen Stewart,655784694.0
Colin Firth,643717411.0
Judy Greer,634527957.0
Jada Pinkett Smith,622461959.0
Albert Finney,608720554.0
Chloë Grace Moretz,605521625.0
Justin Timberlake,595274754.0
Jon Favreau,590721315.0
Gary Oldman,571413481.0
Macaulay Culkin,566365137.0
Leonard Nimoy,561449216.0
Christoph Waltz,561437511.0
Aidan Turner,544629145.0
Demi Moore,535709297.0
Jim Parsons,535619457.0
Jennifer Garner,533995064.0
Benedict Cumberbatch,519245027.0
Judge Reinhold,518819711.0
Anne Hathaway,516845863.0
Robin Wright,514068165.0
Tom Wilkinson,513195013.0
Vin Diesel,509249728.0
Oliver Platt,506256665.0
Ryan Gosling,496884226.0
Alyson Hannigan,492148168.0
Mila Kunis,488308795.0
Noel Fisher,482587290.0
Josh Hutcherson,482485999.0
Gary Cole,481420753.0
Tim Holmes,469806152.0
Kate Winslet,466820861.0
Bernie Mac,466617303.0
Dennis Quaid,466004673.0
Milla Jovovich,456824565.0
Chris Evans,448265275.0
James Franco,447036775.0
Josh Gad,445402563.0
Sarah Michelle Gellar,444965958.0
Jeremy Renner,444756424.0
Eva Green,440383485.0
Rupert Everett,436471036.0
Henry Thomas,435329102.0
Lea Thompson,433072165.0
Cary-Hiroyuki Tagawa,423584156.0
Ty Burrell,414974195.0
Don Cheadle,410198242.0
Orlando Bloom,403857641.0
Steve Coogan,402960178.0
Hayley Atwell,402322663.0
Alexander Gould,393532491.0
Denis Leary,391903468.0
Jon Hamm,390088345.0
Alfre Woodard,389954211.0
Holly Hunter,385026874.0
Jet Li,384661024.0
Anna Kendrick,377055830.0
Muse Watson,363066972.0
Roy Scheider,362922376.0
Rosario Dawson,359135892.0
Wayne Knight,356784000.0
Nia Long,346221622.0
Djimon Hounsou,340541988.0
Jimmy Bennett,329550504.0
Kelly Macdonald,328457265.0
Joe Mantegna,327617273.0
Brendan Fraser,327029920.0
Zack Ward,318974116.0
Salma Hayek,317656447.0
Michael Biehn,317303341.0
Eileen Brennan,315342230.0
Will Forte,313364948.0
Bill Cobbs,309782637.0
Nia Vardalos,309672830.0
Catherine O'Hara,308697243.0
Lin Shaye,308616208.0
Robert Duvall,307246450.0
Paul Hogan,303988925.0
Jennifer Ehle,299262889.0
Clint Howard,297630675.0
Anjelica Huston,291479761.0
Michael Fassbender,284199168.0
Steve Bastoni,281492479.0
Ellen Burstyn,279650344.0
Tom Selleck,278608014.0
Phaldut Sharma,274084951.0
Tia Carrere,268005644.0
Kathleen Freeman,267652016.0
Chazz Palminteri,265108821.0
Ed Begley Jr.,264271546.0
Martin Landau,259561078.0
Catherine Dyer,255950375.0
Martin Short,253287547.0
Kirsten Dunst,249876868.0
Damon Wayans Jr.,248103503.0
Bingbing Li,245555574.0
Janeane Garofalo,245006031.0
Ariana Richards,244444097.0
Ronny Cox,238825842.0
Peter Greene,238171003.0
LeVar Burton,237787466.0
Costas Mandylor,236480800.0
Jesse McCartney,235439265.0
Joe Morton,234907155.0
Adam Scott,233746423.0
Vivica A. Fox,233593676.0
Bella Thorne,233133659.0
Jack McBrayer,232995036.0
Michael Jai White,232414657.0
Kelly Preston,231391836.0
Finn Wittrock,231207960.0
Goran Visnjic,228774923.0
Rory Culkin,228619159.0
Mei Melançon,226138454.0
Sarah Silverman,223800512.0
Alex Pettyfer,223625327.0
George Kennedy,222865002.0
Oprah Winfrey,221393008.0
Colm Feore,221233612.0
Maura Tierney,220361437.0
Heath Ledger,219335451.0
Mo'Nique,219015899.0
Dianne Wiest,218610781.0
Logan Lerman,218226747.0
Elizabeth Daily,216392871.0
Scott Glenn,214912156.0
Shailene Woodley,214345767.0
Verne Troyer,213079163.0
Toby Stephens,213023524.0
Adam Goldberg,212781988.0
Bruce Spence,212743624.0
Albert Brooks,212632370.0
Fred Gwynne,209574861.0
Jonathan Winters,208868163.0
Madeline Kahn,205800000.0
Alexa PenaVega,205467501.0
Tina Fey,204132043.0
Busy Philipps,202704313.0
Peter Capaldi,202351611.0
Brad Garrett,200807262.0
Mekhi Phifer,199062012.0
Hattie McDaniel,198655278.0
Ioan Gruffudd,198655105.0
Ming-Na Wen,197860083.0
John Belushi,195800000.0
Vanessa Williams,194966877.0
Jon Lovitz,194077176.0
Alicia Witt,193144041.0
Haley Joel Osment,189258098.0
Bruce Greenwood,189245019.0
Essie Davis,188811421.0
Clea DuVall,187495410.0
Nick Stahl,186735955.0
Adriana Caselotti,184925485.0
Patrick Fugit,184491759.0
Mary McDonnell,184208848.0
Ki Hong Lee,184101193.0
Eric Dane,183201170.0
Karen Allen,182618434.0
Zooey Deschanel,181844082.0
Martin Kove,181600000.0
Michael Jeter,181500091.0
Bam Margera,181492168.0
Olivia Newton-John,181360000.0
Bob Hoskins,180583004.0
John Witherspoon,180160295.0
Tim Blake Nelson,179671561.0
Javier Botet,173898395.0
Marlon Brando,171482000.0
Ethan Embry,170778354.0
Desmond Llewelyn,170100000.0
Michael Rapaport,169598973.0
Matt Lucas,169076745.0
Giancarlo Giannini,168368427.0
Margot Kidder,168200000.0
Sean Patrick Thomas,166113226.0
Rufus Sewell,165715334.0
Eleanor Parker,163214286.0
Tim Conway,162495848.0
Mark Addy,161904554.0
Chris Brown,161791781.0
Aldis Hodge,161029270.0
Billy Burke,160542036.0
Sarah Roemer,160100342.0
Odeya Rush,160043480.0
Madeline Carroll,158383657.0
Toby Jones,156465418.0
Quvenzhané Wallis,155363529.0
Dean Stockwell,154018779.0
Heather O'Rourke,153200000.0
Stockard Channing,152293687.0
Charlize Theron,151498011.0
Radha Mitchell,151206074.0
Mike Vogel,150627765.0
Laura-Leigh,150368971.0
Sanaa Lathan,150282161.0
Craig Roberts,150056505.0
LL Cool J,149478255.0
Charlie Hunnam,149166930.0
Harold Ramis,148734225.0
Lupe Ontiveros,148688074.0
Lauren Holly,148588856.0
Erika Christensen,148577195.0
Phoebe Cates,148170000.0
Delroy Lindo,147905873.0
Jay Hernandez,146814878.0
Omar Epps,146107198.0
Roger Rees,145721356.0
Michael Imperioli,144741062.0
Rene Russo,144731527.0
Jason Flemyng,143417634.0
Matt Bomer,143097394.0
Miguel Ferrer,142926410.0
Dominic Cooper,142907866.0
Mahadeo Shivraj,142614158.0
