director_name,actor_1_name,gross
Joss Whedon,Chris Hemsworth,1705550693.0
Sam Raimi,J.K. Simmons,1485313269.0
Gore Verbinski,Johnny Depp,1250322569.0
George Lucas,Natalie Portman,1165482815.0
Tim Burton,Johnny Depp,1070125938.0
Francis Lawrence,Jennifer Lawrence,1043415508.0
Steven Spielberg,Harrison Ford,936427645.0
Christopher Nolan,Christian Bale,791742578.0
James Cameron,CCH Pounder,760505847.0
Michael Bay,Glenn Morshower,754435468.0
Barry Sonnenfeld,Will Smith,733332680.0
Jon Favreau,Scarlett Johansson,725290282.0
Clint Eastwood,Clint Eastwood,675387233.0
James Cameron,Leonardo DiCaprio,658672302.0
Peter Jackson,Christopher Lee,654316475.0
Peter Jackson,Naomi Watts,654153780.0
Colin Trevorrow,Bryce Dallas Howard,652177271.0
Jon Favreau,Robert Downey Jr.,630355613.0
Zack Snyder,Henry Cavill,621270627.0
Pierre Coffin,Steve Carell,619551280.0
Sam Mendes,Albert Finney,608720554.0
Ron Howard,Tom Hanks,592783296.0
Bill Condon,Robert Pattinson,584597846.0
Chris Columbus,Daniel Radcliffe,579528506.0
George Lucas,Harrison Ford,575935665.0
Robert Zemeckis,Tom Hanks,563987100.0
Martin Scorsese,Leonardo DiCaprio,557497039.0
Paul Greengrass,Matt Damon,546732530.0
Shawn Levy,Robin Williams,541840715.0
Tim Johnson,Jim Parsons,532031025.0
Todd Phillips,Bradley Cooper,531769357.0
Peter Jackson,Aidan Turner,513463724.0
Sam Raimi,Tim Holmes,469806152.0
Rob Cohen,Paul Walker,468544110.0
Jonathan Liebesman,Noel Fisher,465294909.0
Marc Webb,Emma Stone,464884596.0
Chris Columbus,Macaulay Culkin,459346759.0
Dennis Dugan,Steve Buscemi,459149506.0
Christopher Nolan,Tom Hardy,448130642.0
Jay Roach,Robert De Niro,445392615.0
John Lasseter,Tom Hanks,437619630.0
Andrew Adamson,Rupert Everett,436471036.0
Steven Spielberg,Henry Thomas,434949459.0
Roger Allers,Matthew Broderick,422783777.0
Robert Zemeckis,Lea Thompson,416776391.0
Lee Unkrich,Tom Hanks,414984497.0
Tim Burton,Michael Gough,414020622.0
Shane Black,Robert Downey Jr.,413228109.0
Eric Darnell,Jada Pinkett Smith,409503452.0
Jason Reitman,J.K. Simmons,408953509.0
Gary Ross,Jennifer Lawrence,407999255.0
Anthony Russo,Robert Downey Jr.,407197282.0
Kenneth Branagh,Hayley Atwell,402296318.0
Chris Buck,Josh Gad,400736600.0
Guy Ritchie,Robert Downey Jr.,395850158.0
Dean DeBlois,Gerard Butler,394385104.0
Carlos Saldanha,Denis Leary,391903468.0
Bryan Singer,Jennifer Lawrence,388900073.0
Catherine Hardwicke,Kristen Stewart,382898950.0
Andrew Stanton,Alexander Gould,380838870.0
Peter Jackson,Orlando Bloom,377019252.0
Bryan Singer,Hugh Jackman,372248497.0
Rob Marshall,Johnny Depp,369061224.0
Steven Spielberg,Tom Cruise,366291168.0
Steven Spielberg,Tom Hanks,365457835.0
Tim Miller,Ryan Reynolds,363024263.0
Tim Burton,Cary-Hiroyuki Tagawa,360023480.0
Steven Spielberg,Wayne Knight,356784000.0
Pete Docter,Amy Poehler,356454367.0
Christopher McQuarrie,Tom Cruise,355068160.0
Clint Eastwood,Bradley Cooper,350123553.0
James Wan,Jason Statham,350034110.0
Joseph Kosinski,Jeff Bridges,344103574.0
David O. Russell,Jennifer Lawrence,338650199.0
Kyle Balda,Steve Carell,336029560.0
Baz Luhrmann,Leonardo DiCaprio,335964320.0
Martin Campbell,Eva Green,334014368.0
James Gunn,Bradley Cooper,333130696.0
Garry Marshall,Julia Roberts,330555858.0
Phil Lord,Channing Tatum,330063905.0
Louis Leterrier,Liam Neeson,326384228.0
Yarrow Cheney,Steve Coogan,323505540.0
Chris Miller,Justin Timberlake,320706665.0
Michael Bay,Zack Ward,318759914.0
Genndy Tartakovsky,Steve Buscemi,318005620.0
Tony Scott,Denzel Washington,316272337.0
Richard Marquand,Harrison Ford,309125409.0
Steven Soderbergh,Brad Pitt,308937405.0
Roland Emmerich,Will Smith,306124059.0
David Yates,Alan Rickman,301956980.0
David Slade,Robert Pattinson,300523113.0
Frank Coraci,Adam Sandler,298827398.0
Chris Weitz,Robert Pattinson,296623634.0
M. Night Shyamalan,Bruce Willis,293501675.0
Pete Docter,John Ratzenberger,292979556.0
Christopher Nolan,Leonardo DiCaprio,292568851.0
David Yates,Robert Pattinson,292000866.0
Andrew Adamson,Jim Broadbent,291709845.0
Joel Schumacher,Michael Gough,291316116.0
Irvin Kershner,Harrison Ford,290158751.0
Mike Newell,Robert Pattinson,289994397.0
Pete Docter,Steve Buscemi,289907418.0
Lana Wachowski,Steve Bastoni,281492479.0
Peter Segal,Adam Sandler,278891863.0
Chris Columbus,Robin Williams,277420776.0
Alfonso Cuarón,Phaldut Sharma,274084951.0
Dan Scanlon,Steve Buscemi,268488329.0
Andrew Adamson,Kathleen Freeman,267652016.0
George Miller,Robin Williams,261985155.0
Brad Bird,Holly Hunter,261437578.0
Ron Howard,Clint Howard,260031035.0
Steven Spielberg,Roy Scheider,260000000.0
Anthony Russo,Scarlett Johansson,259746958.0
Tony Scott,Tom Cruise,259452461.0
Phil Lord,Morgan Freeman,257756197.0
J.J. Abrams,Chris Hemsworth,257704099.0
Francis Lawrence,Will Smith,256386216.0
John Lee Hancock,Catherine Dyer,255950375.0
Seth Gordon,Jon Favreau,254591222.0
Cameron Crowe,Tom Cruise,254235680.0
Alfonso Cuarón,Daniel Radcliffe,249358727.0
Adam McKay,Will Ferrell,248682170.0
David Yates,Christoph Waltz,248103518.0
Michael Bay,Bingbing Li,245428137.0
John Lasseter,John Ratzenberger,244052771.0
Tom Shadyac,Morgan Freeman,242589580.0
Jan de Bont,Philip Seymour Hoffman,241688385.0
Dennis Dugan,Adam Sandler,241670946.0
Joel Zwick,Nia Vardalos,241437427.0
Robert Stromberg,Angelina Jolie Pitt,241407328.0
Jaume Collet-Serra,Liam Neeson,240071457.0
Paul Verhoeven,Ronny Cox,238825842.0
Mike Mitchell,Jon Hamm,238371987.0
Raja Gosnell,Sarah Michelle Gellar,237473569.0
Mark Andrews,Kelly Macdonald,237282182.0
Paul Feig,Ed Begley Jr.,236199318.0
Jon Turteltaub,Nicolas Cage,236148814.0
Martin Brest,Judge Reinhold,234760500.0
Brett Ratner,Hugh Jackman,234360014.0
Gabriele Muccino,Will Smith,232537860.0
Angelina Jolie Pitt,Finn Wittrock,231207960.0
Olivier Megaton,Liam Neeson,229106311.0
Steven Spielberg,Ariana Richards,229074524.0
J.J. Abrams,Benedict Cumberbatch,228756232.0
Rawson Marshall Thurber,Gary Cole,228648144.0
Ridley Scott,Matt Damon,228430993.0
M. Night Shyamalan,Rory Culkin,227965690.0
Peter Berg,Will Smith,227946274.0
Brett Ratner,Mei Melançon,226138454.0
Andrew Stanton,John Ratzenberger,223806889.0
Bryan Singer,Kevin Spacey,223341714.0
Don Hall,Damon Wayans Jr.,222487711.0
Penny Marshall,Tom Hanks,222427559.0
Robert Zemeckis,Robin Wright,220012065.0
Betty Thomas,Amy Poehler,219613391.0
Seth MacFarlane,Mila Kunis,218628680.0
Jerry Zucker,Demi Moore,217631306.0
Ron Clements,Robin Williams,217350219.0
Tim Hill,Jesse McCartney,217326336.0
John Woo,Tom Cruise,215397307.0
Mark Osborne,Angelina Jolie Pitt,215395021.0
Jay Roach,Verne Troyer,213079163.0
Zack Snyder,Gerard Butler,210592590.0
Justin Lin,Paul Walker,209805005.0
Brad Bird,Tom Cruise,209364921.0
Matt Reeves,Gary Oldman,208543795.0
Brad Bird,Janeane Garofalo,206435493.0
Alan Taylor,Chris Hemsworth,206360018.0
Mel Brooks,Madeline Kahn,205800000.0
Jay Roach,Muse Watson,205399422.0
Phillip Noyce,Harrison Ford,205300073.0
James Cameron,Joe Morton,204843350.0
William Friedkin,Ellen Burstyn,204565000.0
Michael Bay,Will Smith,204203648.0
Garry Marshall,Anne Hathaway,203394209.0
Marc Forster,Peter Capaldi,202351611.0
Stephen Sommers,Dwayne Johnson,202007640.0
Michael Bay,Bruce Willis,201573391.0
Francis Ford Coppola,Al Pacino,201498014.0
Nathan Greno,Brad Garrett,200807262.0
Sam Mendes,Christoph Waltz,200074175.0
Victor Fleming,Hattie McDaniel,198655278.0
Mike Mitchell,Amy Poehler,198638996.0
Michael Bay,Jennifer Garner,198539855.0
Rob Letterman,Amy Poehler,198332128.0
Steven Soderbergh,Channing Tatum,196953670.0
John Landis,John Belushi,195800000.0
John Lasseter,Joe Mantegna,191450875.0
Rich Moore,Jack McBrayer,189412677.0
David Frankel,Meryl Streep,188268973.0
Christopher Nolan,Matthew McConaughey,187991439.0
Ridley Scott,Djimon Hounsou,187670866.0
Kirk De Micco,Ryan Reynolds,187165546.0
Roland Emmerich,Jake Gyllenhaal,186739919.0
Doug Liman,Brad Pitt,186336103.0
Leonard Nimoy,Leonard Nimoy,186113132.0
William Cottrell,Adriana Caselotti,184925485.0
Kevin Costner,Mary McDonnell,184208848.0
Wes Ball,Ki Hong Lee,184101193.0
Andrew Davis,Harrison Ford,183875760.0
John Carpenter,Jamie Lee Curtis,183756000.0
Alejandro G. Iñárritu,Leonardo DiCaprio,183635922.0
Elizabeth Banks,Anna Kendrick,183436380.0
David Silverman,Albert Brooks,183132370.0
Nancy Meyers,Judy Greer,182805123.0
Wolfgang Petersen,Karen Allen,182618434.0
Steven Spielberg,Joseph Gordon-Levitt,182204440.0
John G. Avildsen,Martin Kove,181600000.0
Jeff Tremaine,Bam Margera,181492168.0
Tom Shadyac,Maura Tierney,181395380.0
Randal Kleiser,Olivia Newton-John,181360000.0
Joe Johnston,Michael Jeter,181166115.0
Kenneth Branagh,Chris Hemsworth,181015141.0
Brian De Palma,Tom Cruise,180965237.0
Peyton Reed,Judy Greer,180191634.0
Eric Darnell,Bernie Mac,179982968.0
Gavin Hood,Hugh Jackman,179883016.0
James Mangold,Hugh Jackman,179646413.0
James Cameron,Michael Biehn,177822000.0
Antoine Fuqua,Denzel Washington,177791774.0
John Madden,Tom Wilkinson,177764914.0
Andy Tennant,Will Smith,177575142.0
Sydney Pollack,Bill Murray,177200000.0
Anthony Minghella,Philip Seymour Hoffman,176924749.0
Rupert Wyatt,James Franco,176740650.0
Joe Johnston,Chris Evans,176636816.0
Bobby Farrelly,Sarah Silverman,176483808.0
Chris Wedge,Goran Visnjic,176387405.0
Peter Faiman,Paul Hogan,174635000.0
Spike Lee,Denzel Washington,174382733.0
Wes Anderson,Bill Murray,173529291.0
Jon Favreau,Peter Dinklage,173381405.0
Barry Levinson,Tom Cruise,172825435.0
Wolfgang Petersen,Harrison Ford,172620724.0
Lana Wachowski,Keanu Reeves,171383253.0
Ethan Coen,Matt Damon,171031347.0
Ron Howard,Adam Goldberg,170708996.0
Rob Marshall,Colm Feore,170684505.0
Tate Taylor,Emma Stone,169705587.0
Paul Feig,Matt Lucas,169076745.0
Martin Scorsese,Robert De Niro,168452589.0
Marc Forster,Giancarlo Giannini,168368427.0
Richard Lester,Margot Kidder,168200000.0
Leonard Nimoy,Tom Selleck,167780960.0
David Fincher,Patrick Fugit,167735396.0
Sam Taylor-Johnson,Jennifer Ehle,166147885.0
Roland Emmerich,Oliver Platt,166112167.0
Kevin Reynolds,Alan Rickman,165500000.0
Jennifer Yuh Nelson,Angelina Jolie Pitt,165230261.0
David Fincher,Brad Pitt,164514197.0
Steven Spielberg,Leonardo DiCaprio,164435221.0
Anne Fletcher,Ryan Reynolds,163947053.0
Robert Wise,Eleanor Parker,163214286.0
Quentin Tarantino,Leonardo DiCaprio,162804648.0
John Lasseter,Kevin Spacey,162792677.0
Paul Tibbitt,Tim Conway,162495848.0
Paul W.S. Anderson,Milla Jovovich,162321729.0
Jonathan Frakes,LeVar Burton,162118598.0
Barry Levinson,Robin Williams,161364550.0
Steve Martino,Peter Dinklage,161317423.0
David Ayer,Will Smith,161087183.0
F. Gary Gray,Aldis Hodge,161029270.0
Bibo Bergeron,Robert De Niro,160762022.0
Lee Tamahori,Toby Stephens,160201106.0
D.J. Caruso,Sarah Roemer,160100342.0
Rob Letterman,Odeya Rush,160043480.0
Herbert Ross,Dianne Wiest,160000000.0
George Roy Hill,Eileen Brennan,159600000.0
Paul Feig,Michael Rapaport,159578352.0
Scott Derrickson,Keanu Reeves,158727570.0
Robert Rodriguez,Alexa PenaVega,158497097.0
Sydney Pollack,Tom Cruise,158348400.0
Andy Fickman,Dwayne Johnson,157765185.0
Adrian Lyne,Fred Gwynne,156645693.0
M. Night Shyamalan,Bryce Dallas Howard,156468380.0
Robert Zemeckis,Harrison Ford,155370362.0
Brad Peyton,Dwayne Johnson,155181732.0
Rupert Sanders,Chris Hemsworth,155111815.0
Tim Johnson,Bruce Willis,155019340.0
Nicholas Meyer,Leonard Nimoy,153788996.0
Tony Scott,Dean Stockwell,153665036.0
George Miller,Tom Hardy,153629485.0
Edward Zwick,Denzel Washington,153510873.0
Tobe Hooper,Heather O'Rourke,153200000.0
John Woo,Nicolas Cage,153137607.0
Neil Burger,Kate Winslet,150832203.0
George P. Cosmatos,Sylvester Stallone,150415432.0
Rawson Marshall Thurber,Laura-Leigh,150368971.0
Jonathan Mostow,Nick Stahl,150350192.0
Sean Anders,Will Ferrell,150315155.0
Stephen Sommers,Joseph Gordon-Levitt,150167630.0
Nicholas Stoller,Craig Roberts,150056505.0
Takashi Shimizu,Sarah Michelle Gellar,149319710.0
Chris Miller,Salma Hayek,149234747.0
Tom Hooper,Hugh Jackman,148775460.0
Judd Apatow,Harold Ramis,148734225.0
Paul Weitz,Robert De Niro,148383780.0
Tom McGrath,J.K. Simmons,148337537.0
Joe Dante,Phoebe Cates,148170000.0
James L. Brooks,Lupe Ontiveros,147637474.0
Matthew Vaughn,Jennifer Lawrence,146405371.0
James Cameron,Jamie Lee Curtis,146282411.0
Dean DeBlois,Tia Carrere,145771527.0
Brett Ratner,Dwayne Johnson,145320058.0
J.B. Rogers,Alyson Hannigan,145096820.0
Pierre Morel,Liam Neeson,145000989.0
John Pasquin,Judge Reinhold,144833357.0
Alex Proyas,Will Smith,144795350.0
Richard Donner,Rene Russo,144731527.0
Betty Thomas,Oliver Platt,144156464.0
Phyllida Lloyd,Colin Firth,143704210.0
Carlos Saldanha,Anne Hathaway,143618384.0
Alessandro Carloni,J.K. Simmons,143523463.0
Ridley Scott,Michael Fassbender,143434294.0
Darren Lynn Bousman,Costas Mandylor,143420602.0
Jonathan Demme,Denzel Washington,143273133.0
David Frankel,Eric Dane,143151473.0
Raja Gosnell,Mahadeo Shivraj,142614158.0
Louis Leterrier,Morgan Freeman,142219786.0
Andrew Adamson,Peter Dinklage,141614023.0
Mike Gabriel,Christian Bale,141600000.0
Rob Reiner,Tom Cruise,141340178.0
Danny Boyle,Anil Kapoor,141319195.0
Rob Cohen,Vin Diesel,141204016.0
Jay Roach,Will Ferrell,140765212.0
Daniel Myrick,Heather Donahue,140530114.0
Mimi Leder,Morgan Freeman,140459099.0
Brett Ratner,Tzi Ma,140080850.0
Rob Minkoff,Chazz Palminteri,140015224.0
Lana Wachowski,Essie Davis,139259759.0
Michael Lembeck,Judge Reinhold,139225854.0
David Twohy,Vin Diesel,138870363.0
Harold Ramis,Robert De Niro,138816265.0
Tom Hooper,Colin Firth,138795342.0
Shawn Levy,Tom Welling,138614544.0
Gus Van Sant,Robin Williams,138339411.0
Oliver Stone,Johnny Depp,137963328.0
Eric Leighton,Alfre Woodard,137748063.0
James Wan,Lin Shaye,137565968.0
James Wan,Mackenzie Foy,137387272.0
Frank Darabont,Tom Hanks,136801374.0
Ron Howard,Lili Taylor,136448821.0
Ben Affleck,Clea DuVall,136019448.0
Mark Dindal,Catherine O'Hara,135381507.0
Florian Henckel von Donnersmarck,Johnny Depp,135262314.0
Tom Shadyac,Robin Williams,135014968.0
Timur Bekmambetov,Angelina Jolie Pitt,134568845.0
Len Wiseman,Bruce Willis,134520804.0
Louis Leterrier,Ty Burrell,134518390.0
Richard Donner,Marlon Brando,134218018.0
Tim Story,Bruce McGill,134141530.0
Michael Bay,Nicolas Cage,134006721.0
J.J. Abrams,Philip Seymour Hoffman,133382309.0
Wolfgang Petersen,Brad Pitt,133228348.0
Adam Shankman,Angus T. Jones,132541238.0
Ang Lee,Kevin Rankin,132122995.0
Tim Story,Chris Evans,131920333.0
M. Night Shyamalan,Seychelle Gabriel,131564731.0
Carlos Saldanha,Miguel Ferrer,131536019.0
Simon West,Angelina Jolie Pitt,131144183.0
Jonathan Demme,Anthony Hopkins,130727000.0
Brian Levant,Jonathan Winters,130512915.0
Justin Lin,Sofia Boutella,130468626.0
Peter Segal,Bill Murray,130313314.0
Steve Martino,Francesca Capaldi,130174897.0
Ridley Scott,Denzel Washington,130127620.0
Sam Mendes,Kevin Spacey,130058047.0
Ridley Scott,Christian Bale,130014090.0
Robert Schwentke,Kate Winslet,129995817.0
Richard Donner,Jet Li,129734803.0
Tom Shadyac,Jada Pinkett Smith,128769345.0
Larry Charles,Luenell,128505958.0
Steven Spielberg,Bob Balaban,128300000.0
Chris Wedge,Jim Broadbent,128200012.0
Ang Lee,Chen Chang,128067808.0
Steven Soderbergh,Julia Roberts,128055131.0
Kevin Lima,Jeff Bennett,127706877.0
Andy Tennant,Ethan Embry,127214072.0
Peter Farrelly,Lauren Holly,127175354.0
John Singleton,Paul Walker,127083765.0
J.J. Abrams,Joel Courtney,126975169.0
Michael Apted,Colin Salmon,126930660.0
P.J. Hogan,Julia Roberts,126805112.0
Steve Hickner,Matthew Broderick,126597121.0
Luc Besson,Scarlett Johansson,126546825.0
Steven Brill,Steve Buscemi,126203320.0
Daniel Espinosa,Denzel Washington,126149655.0
Rawson Marshall Thurber,Dwayne Johnson,126088877.0
Peter Weir,Natascha McElhone,125603360.0
Roger Spottiswoode,Vincent Schiavelli,125332007.0
McG,Christian Bale,125320003.0
McG,Bill Murray,125305545.0
Peter Berg,Jerry Ferrara,125069696.0
Michael Sucsy,Channing Tatum,125014030.0
Ang Lee,Suraj Sharma,124976634.0
Phil Lord,Will Forte,124870275.0
Josh Boone,Shailene Woodley,124868837.0
Nancy Meyers,Keanu Reeves,124590960.0
Steven Soderbergh,Michael O'Neill,124107476.0
Seth MacFarlane,Liam Neeson,123873185.0
Peter Segal,Larry Miller,123307945.0
Jon M. Chu,Channing Tatum,122512052.0
John McTiernan,Scott Glenn,122012643.0
Mick Jackson,Bill Cobbs,121945720.0
Penelope Spheeris,Tia Carrere,121697350.0
Doug Liman,Matt Damon,121468960.0
Greg Mottola,Emma Stone,121463226.0
Jan de Bont,Keanu Reeves,121248145.0
Tony Bancroft,Ming-Na Wen,120618403.0
Quentin Tarantino,Michael Fassbender,120523073.0
John Lee Hancock,Dennis Quaid,120409766.0
Gary Ross,Jeff Bridges,120147445.0
Chuck Russell,Peter Greene,119938730.0
Cody Cameron,Will Forte,119793567.0
Steven Spielberg,Robin Williams,119654900.0
James Mangold,Sandra Ellis Lafferty,119518352.0
Hoyt Yeatman,Kelli Garner,119420252.0
Adam McKay,Dwayne Johnson,119219978.0
Michael Moore,Osama bin Laden,119078393.0
Adam Shankman,Jerry Stiller,118823091.0
Peyton Reed,Jon Favreau,118683135.0
Phil Alden Robinson,Morgan Freeman,118471320.0
Phillip Noyce,Angelina Jolie Pitt,118311368.0
Josh Gordon,Will Ferrell,118153533.0
Zack Snyder,Ty Burrell,117771270.0
Raja Gosnell,Nia Long,117559438.0
Renny Harlin,Bruce Willis,117541000.0
Seth Gordon,Kevin Spacey,117528646.0
John G. Avildsen,Sylvester Stallone,117235247.0
José Padilha,Gary Oldman,117214014.0
Steven Soderbergh,Al Pacino,117144465.0
Bruce Beresford,Bruce Greenwood,116735231.0
Curtis Hanson,Mekhi Phifer,116724075.0
Renny Harlin,Sylvester Stallone,116666080.0
Clark Johnson,Jeremy Renner,116643346.0
Lee Daniels,Alex Pettyfer,116631310.0
Martin Campbell,Ryan Reynolds,116593191.0
Roger Michell,Julia Roberts,116006080.0
Mark Steven Johnson,Nicolas Cage,115802596.0
Nora Ephron,Tom Hanks,115731542.0
Boaz Yakin,Ryan Gosling,115648585.0
Neill Blomkamp,Sharlto Copley,115646235.0
Tyler Perry,Michael Jai White,115257317.0
Charles Martin Smith,Morgan Freeman,114299173.0
Simon West,Jason Statham,114130989.0
Byron Howard,Chloë Grace Moretz,114053579.0
Len Wiseman,Sophia Myles,113802824.0
Barry Sonnenfeld,Anjelica Huston,113502246.0
Roland Emmerich,Heath Ledger,113330342.0
Tony Gilroy,Jeremy Renner,113165635.0
Adam Shankman,Vin Diesel,113006880.0
Steve Carr,Raven-Symoné,112950721.0
Nancy Meyers,Meryl Streep,112703470.0
Josh Trank,Tim Blake Nelson,112228442.0
Milos Forman,Scatman Crothers,112000000.0
Ivan Reitman,Kelly Preston,111936400.0
Robert Rodriguez,Sylvester Stallone,111760631.0
David Lean,Julie Christie,111722000.0
Tony Scott,Will Smith,111544445.0
Rob Minkoff,Ty Burrell,111505642.0
Bobby Farrelly,Bill Murray,111152223.0
Edward Zwick,Tom Cruise,111110575.0
Harold Ramis,Bill Murray,110706973.0
Garry Marshall,Bradley Cooper,110476776.0
Ben Stiller,Robert Downey Jr.,110416702.0
Dean Parisot,John Michael Higgins,110332737.0
Mark Waters,Jamie Lee Curtis,110222438.0
Judd Apatow,Amy Schumer,110008260.0
David Zucker,Regina Hall,110000082.0
Adam Shankman,Adam Sandler,109993847.0
Ryan Coogler,Sylvester Stallone,109712885.0
John Cornell,Paul Hogan,109306210.0
Judd Apatow,Steve Carell,109243478.0
Peter Billingsley,Jon Favreau,109176215.0
Paul Haggis,Don Cheadle,109114696.0
Steven Soderbergh,Matt Damon,108952325.0
Joel Schumacher,Kevin Spacey,108706165.0
Ridley Scott,Ioan Gruffudd,108638745.0
Steve Oedekerk,Bruce Spence,108360000.0
Tim Hill,Gary Cole,108012170.0
Quentin Tarantino,Bruce Willis,107930000.0
Oren Peli,Micah Sloat,107917283.0
Chris Wedge,Josh Hutcherson,107515297.0
Zack Snyder,Matt Frewer,107503316.0
Clay Kaytis,Peter Dinklage,107225164.0
Paul Greengrass,Tom Hanks,107100855.0
Darren Aronofsky,Natalie Portman,106952327.0
Donald Petrie,Candice Bergen,106807667.0
Peter Lord,Imelda Staunton,106793915.0
Martin Campbell,Izabella Scorupco,106635996.0
Bruce Beresford,Morgan Freeman,106593296.0
Noam Murro,Eva Green,106369117.0
F. Gary Gray,Jason Statham,106126012.0
Donald Petrie,Matthew McConaughey,105807520.0
Bob Clark,Art Hindle,105500000.0
Hugh Wilson,Stockard Channing,105444419.0
Neil Jordan,Brad Pitt,105264608.0
Sam Weisman,Brendan Fraser,105263257.0
Ridley Scott,Mark Addy,105219735.0
Joe Wright,Hugh Jackman,104894454.0
Jon Turteltaub,Robert Duvall,104632573.0
Malcolm D. Lee,Harold Perrineau,104567580.0
Michael Apted,Bruce Spence,104383624.0
Ron Clements,Oprah Winfrey,104374107.0
Jesse Dylan,Alyson Hannigan,104354205.0
Bennett Miller,Philip Seymour Hoffman,104353062.0
Steve Carr,Anjelica Huston,104148781.0
Sam Mendes,Tom Hanks,104054514.0
Henry Joost,Johanna Braddy,104007828.0
Brad Peyton,Josh Hutcherson,103812241.0
Warren Beatty,Charlie Korsmo,103738726.0
Peter Ramsey,Hugh Jackman,103400692.0
Bill Condon,Loretta Devine,103338338.0
Wes Craven,David Arquette,103001286.0
Sylvester Stallone,Jason Statham,102981571.0
Jeannot Szwarc,Roy Scheider,102922376.0
Simon West,Daniel von Bargen,102678089.0
David Fincher,Robin Wright,102515793.0
Roland Emmerich,Vivica A. Fox,102315545.0
James Wan,Javier Botet,102310175.0
George Roy Hill,Katharine Ross,102308900.0
Robert Stevenson,Ed Wynn,102300000.0
Rob Cohen,Jet Li,102176165.0
Jeff Tremaine,Jackson Nicoll,101978840.0
Guillermo del Toro,Charlie Hunnam,101785482.0
Paul Weitz,Alyson Hannigan,101736215.0
Eric Brevig,Josh Hutcherson,101702060.0
David Bowers,Zachary Gordon,101693824.0
Dominic Sena,Nicolas Cage,101643008.0
Stephen Gaghan,Matt Damon,101630576.0
Evan Goldberg,Channing Tatum,101470202.0
Wes Craven,Omar Epps,101334374.0
