director_name,gross
Steven Spielberg,4114233101.0
Peter Jackson,2289968050.0
Michael Bay,2231242537.0
Tim Burton,2071275480.0
Sam Raimi,2049549198.0
James Cameron,1948125910.0
Christopher Nolan,1813227576.0
George Lucas,1741418480.0
Joss Whedon,1730886628.0
Robert Zemeckis,1619309108.0
Chris Columbus,1618707624.0
Jon Favreau,1562381547.0
Clint Eastwood,1378321100.0
Ron Howard,1362891801.0
Francis Lawrence,1358501971.0
Ridley Scott,1337771688.0
Gore Verbinski,1329600995.0
Shawn Levy,1177562263.0
Zack Snyder,1149192852.0
Sam Mendes,1137863626.0
Andrew Adamson,1137446920.0
Bryan Singer,1132739614.0
Brett Ratner,1061998151.0
Steven Soderbergh,1050729636.0
John Lasseter,1035915953.0
M. Night Shyamalan,1029527628.0
Jay Roach,1013524555.0
Roland Emmerich,952375462.0
Pete Docter,939341341.0
Barry Sonnenfeld,926174214.0
Martin Scorsese,914609800.0
Tom Shadyac,890339768.0
Rob Cohen,889081097.0
Tony Scott,881953673.0
Todd Phillips,881356030.0
David Fincher,863904524.0
Dennis Dugan,851981972.0
David Yates,842061364.0
Martin Campbell,812561647.0
Brad Bird,793815162.0
James Wan,791976204.0
Eric Darnell,763481894.0
Joel Schumacher,758976101.0
Garry Marshall,755336386.0
J.J. Abrams,746817809.0
Anthony Russo,742882536.0
Phil Lord,712690377.0
Bill Condon,707795035.0
Adam Shankman,697071855.0
Lana Wachowski,687238691.0
Tim Johnson,687050365.0
Paul Greengrass,686072860.0
Oliver Stone,679792713.0
Andrew Stanton,677704438.0
Kenneth Branagh,675401735.0
Louis Leterrier,671514451.0
Carlos Saldanha,667057871.0
Raja Gosnell,663162220.0
Colin Trevorrow,656185063.0
Richard Donner,636416927.0
Peter Segal,635719624.0
Wolfgang Petersen,628379716.0
Quentin Tarantino,624139594.0
Barry Levinson,623709246.0
Jonathan Liebesman,620577856.0
Pierre Coffin,619551280.0
Rob Marshall,616430006.0
John McTiernan,606153838.0
Robert Rodriguez,590283751.0
Tim Story,588701230.0
Bobby Farrelly,583581384.0
Paul Feig,581501799.0
Jon Turteltaub,577335180.0
Alfonso Cuarón,572352439.0
Jan de Bont,567847589.0
Francis Ford Coppola,558860377.0
Nancy Meyers,558599150.0
James Mangold,554390748.0
Mike Newell,552092779.0
Gary Ross,548536667.0
Andy Tennant,547029178.0
Rob Reiner,546997333.0
Dean DeBlois,540156631.0
Ivan Reitman,534858920.0
F. Gary Gray,530923809.0
Wes Craven,529079795.0
Ang Lee,526804708.0
Sydney Pollack,526218684.0
Adam McKay,524449691.0
Renny Harlin,523975947.0
Peter Berg,523040187.0
David O. Russell,520549751.0
Phillip Noyce,519989056.0
Doug Liman,519041027.0
Frank Coraci,518767407.0
Guy Ritchie,511414538.0
Marc Forster,510122871.0
Roger Allers,507087335.0
Rawson Marshall Thurber,505105992.0
Mike Mitchell,500950437.0
Brian De Palma,500840267.0
Marc Webb,497275970.0
Simon West,497083761.0
John Woo,493401036.0
Judd Apatow,487323538.0
Joe Johnston,487027157.0
McG,480290547.0
George Miller,479135651.0
Catherine Hardwicke,473777574.0
Chris Weitz,473200378.0
Robert Schwentke,473065748.0
Chris Miller,469941412.0
Antoine Fuqua,465630234.0
Peyton Reed,464908514.0
John Lee Hancock,459659902.0
Baz Luhrmann,442902351.0
Betty Thomas,433910970.0
Joseph Kosinski,433125309.0
Jason Reitman,425253811.0
Edward Zwick,420874084.0
Rob Minkoff,417115267.0
Lee Unkrich,414984497.0
Brian Levant,414038962.0
John Singleton,413714434.0
Paul W.S. Anderson,413432241.0
Shane Black,413228109.0
Harold Ramis,412242374.0
Chris Wedge,412102714.0
Robert Luketic,411972459.0
Justin Lin,406620795.0
Rob Letterman,401151867.0
Chris Buck,400736600.0
Ethan Coen,397737757.0
Mark Waters,394327585.0
Paul Verhoeven,391436600.0
Stephen Sommers,387425273.0
Chuck Russell,385675898.0
Peter Weir,380889862.0
Anne Fletcher,377630465.0
Seth Gordon,372119868.0
Andy Fickman,365433732.0
Michael Mann,363735780.0
Tim Miller,363024263.0
Christopher McQuarrie,361116016.0
Jon M. Chu,360590020.0
Ron Clements,359844880.0
Tim Hill,358921863.0
